LineType,Data_Field,Length,Position
1,Line_type1,3,(1:3)
1,Trip,9,(4:12)
1,TripCd_Id,5,(13:17)
1,License_No,10,(18:27)
1,Reg_Year,4,(28:31)
1,Board_Date,10,(32:41)
1,Landing_Date,10,(42:51)
1,OBSCd_Id,4,(52:55)
1,Owner_Group,15,(56:70)
1,CtryCd_Id,3,(71:73)
1,marfis_conf_number,15,(74:88)
1,marfis_license_no,10,(89:98)
1,Comments,2000,(99:2098 )
3,Line_type3,3,(1:3)
3,Trip,9,(4:12)
3,Gear_No,8,(13:20)
3,GearCd_Id,4,(21:24)
3,Wingspread,6,(25:30)
3,Body_Mesh_Size,6,(31:36)
3,Codend_Mesh_Size,6,(37:42)
3,HookCd_Id,6,(43:48)
3,HookSize,6,(49:54)
4,Line_type4,3,(1:3)
4,Trip,9,(4:12)
4,Gear_No,8,(13:20)
4,Gear,4,(21:24)
4,FCd_Id,6,(25:30)
4,Feature_Value,10,(31:40)
6,Line_type6,3,(1:3)
6,Trip,9,(4:12)
6,Set_No,4,(13:16)
6,SetCd_Id,2,(17:18)
6,Gear_No,8,(19:26)
6,SpeciesCd_Id,6,(27:32)
6,Station,30,(33:62)
6,Stratum_Id,6,(63:68)
6,HydCd_Id,2,(69:70)
6,Est_Catch,12,(71:82)
6,ComArea_Id,5,(83:87)
6,ResArea_Id,3,(88:90)
6,EEZArea_Id,6,(91:96)
6,NAFArea_Id,3,(97:99)
6,Source,1,(100:100)
6,HaulcCd_Id,2,(101:102)
6,Len_Longline,11,(103:113)
6,Num_Hook_Haul,8,(114:121)
6,Comments,80,(122:201)
9,Line_type9,3,(1:3)
9,Trip,9,(4:12)
9,Set_No,4,(13:16)
9,Set_Prof_Id,6,(17:22)
9,Set_Date,10,(23:32)
9,Set_Time,4,(33:36)
9,PntCd_Id,2,(37:38)
9,BotCd_Id,2,(39:40)
9,LatDDMM,7,(41:47)
9,LongDDMM,8,(48:55)
9,Depth,11,(56:64)
9,Air_Temperature,7,(65:71)
9,Net_Temperature,7,(72:78)
9,Water_Temperature,7,(79:85)
9,Bar_Pressure,8,(86:93)
9,Vessel_Speed,6,(94:99)
9,Comments,80,(100:179)
12,Line_type12,3,(1:3)
12,Trip,9,(4:12)
12,Set_No,4,(13:16)
12,SpeciesCd_Id,4,(17:20)
12,Est_Num_Caught,8,(21:28)
12,Est_Kept_Wt,10,(29:38)
12,Est_Discard_Wt,10,(39:48)
12,Est_Reduction_Wt,10,(49:58)
12,Est_Combined_Wt,10,(59:68)
13,Line_type13,3,(1:3)
13,Trip,9,(4:12)
13,Set_No,4,(13:16)
13,SpeciesCd_Id,4,(17:20)
13,SexCd_Id,1,(21:21)
13,ProdCd_Id,2,(22:23)
13,Sexed_Sample_Weight,10,(24:33)
13,Species_Sample_Weight,10,(34:43)
13,Sex_Weight_Code,1,(44:44)
13,Fish_Length,10,(45:54)
13,Num_At_Length,10,(55:64)
13,Sub_Sample_Flag,1,(65:65)
15,Line_type15,3,(1:3)
15,Trip,9,(4:12)
15,Set_No,4,(13:16)
15,SpeciesCd_Id,4,(17:20)
15,Fish_No,10,(21:30)
15,SexCd_Id,1,(31:31)
15,Fish_Length,10,(32:41)
15,Fish_Weight,10,(42:51)
15,MatCd_Id,2,(52:53)
15,Fish_Age,3,(54:56)
15,AgerCd_Id,2,(57:58)
15,Otolith_Collected,1,(59:59)
15,Comments,80,(60:139)
18,Line type [18 ],3,(1:3)
18,Trip,9,(4:12)
18,Set_No,4,(13:16)
18,SpeciesCd_Id,4,(17:20)
18,Fish_No,10,(21:30)
18,MrphCd_Id,6,(31:36)
18,Quant_Value,20,(37:56)
18,MrphVCd_Id,10,(57:66)
21,Line_type21,3,(1:3)
21,Trip,9,(4:12)
21,Set_No,4,(13:16)
21,Unused filler[1],2,(17:18)
21,Gear_Group_No,4,(19:22)
21,Gear_Components_Grouped,4,(23:26)
21,Gear_Component_No,4,(27:30)
21,ConditionCD_ID[2],2,(31:32)
21,SpecCD_ID[3],4,(33:36)
21,BaitSourceCD_ID[4],2,(37:38)
21,SpecCD_ID[5],4,(39:42)
21,BaitSourceCD_ID[1],2,(43: 44)
21,SpeciesCd_Id,4,(45:48)
21,Total_Num_Kept,4,(49:52)
21,Total_Num_Discard,4,(53:56)
22,Line_type22,3,(1:3)
22,Trip,9,(4:12)
22,Set_No,4,(13:16)
22,Unused filler3,2,(17:18)
22,Gear_Group_No,4,(19:22)
22,Gear_Component_No,4,(23:26)
22,SpeciesCd_Id,4,(27:30)
22,MrphCd_Id[1],4,(31:34)
22,MrphVCd_Id[2],2,(35:36)
22,NumberCaught,4,(37:40)
